"Holdings and weightings as of 5:36 PM ET 05/10/2017",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AMZN","Amazon.com Inc","14.61%","946.05","-2.90","-0.31%","1.06 M","682.12 - 957.89",
"HD","Home Depot Inc","7.49%","156.63","-1.50","-0.95%","1.63 M","119.20 - 158.15",
"CMCSA","Comcast Corp A","7.19%","39.21","+0.11","+0.27%","5.29 M","29.81 - 40.62",
"DIS","Walt Disney Co","6.20%","109.31","-0.35","-0.32%","3.85 M","90.32 - 116.10",
"MCD","McDonald's Corp","4.60%","144.32","-0.20","-0.14%","817.09 K","110.33 - 144.98",
"PCLN","The Priceline Group Inc","3.49%","1808.62","-16.15","-0.89%","397.75 K","1148.06 - 1927.13",
"SBUX","Starbucks Corp","3.44%","60.34","-0.32","-0.53%","1.92 M","50.84 - 61.94",
"TWX","Time Warner Inc","2.97%","98.86","+0.12","+0.12%","631.94 K","68.97 - 100.60",
"LOW","Lowe's Cos Inc","2.90%","84.77","-1.29","-1.50%","3.26 M","64.87 - 86.25",
"NKE","NIKE Inc B","2.81%","54.04","-0.53","-0.96%","3.33 M","49.01 - 60.33",
"CHTR","Charter Communications Inc A","2.72%","325.26","-0.32","-0.10%","223.72 K","201.04 - 350.38",
"NFLX","NetFlix Inc","2.68%","158.23","-2.05","-1.28%","3.16 M","84.50 - 161.10",
"TJX","TJX Cos Inc","2.05%","79.55","-1.17","-1.45%","1.87 M","71.50 - 83.64",
"GM","General Motors Company","1.81%","34.18","-0.06","-0.16%","4.18 M","27.34 - 38.55",
"F","Ford Motor Co","1.68%","11.04","-0.01","-0.05%","13.56 M","10.90 - 14.04",
"MAR","Marriott Intl A","1.26%","102.94","-0.30","-0.29%","834.16 K","60.87 - 103.43",
"TGT","Target Corp","1.26%","56.94","-1.47","-2.52%","6.78 M","52.72 - 79.33",
"FOXA","Twenty-First Century Fox Inc A","1.14%","27.91","+0.01","+0.02%","13.69 M","23.33 - 32.60",
"CCL","Carnival Corp","1.01%","61.95","-0.19","-0.31%","1.14 M","42.94 - 63.41",
"ROST","Ross Stores Inc","1.01%","65.49","-0.56","-0.85%","994.98 K","52.00 - 69.81",
"NWL","Newell Brands Inc","1.00%","52.98","-0.10","-0.19%","1.27 M","43.43 - 55.45",
"DLPH","Delphi Automotive PLC","0.92%","87.23","-0.54","-0.61%","831.21 K","58.04 - 89.58",
"ORLY","O'Reilly Automotive","0.92%","256.45","-1.04","-0.40%","873.41 K","239.12 - 292.84",
"CBS","CBS Corp B","0.90%","62.43","-0.10","-0.16%","1.11 M","48.88 - 70.10",
"YUM","Yum! Brands Inc","0.90%","68.98","+0.10","+0.15%","1.02 M","54.72 - 69.43",
"AZO","AutoZone Inc","0.77%","695.00","-3.03","-0.43%","183.07 K","680.00 - 819.54",
"OMC","Omnicom Group","0.77%","83.86","-0.21","-0.25%","750.33 K","75.61 - 89.66",
"DLTR","Dollar Tree Inc","0.76%","82.07","-0.95","-1.14%","571.38 K","72.55 - 99.93",
"DG","Dollar General Corp","0.73%","72.64","-1.27","-1.72%","1.04 M","66.50 - 96.88",
"VFC","VF Corp","0.72%","54.48","-1.09","-1.96%","2.10 M","48.05 - 65.28",
"RCL","Royal Caribbean Cruises Ltd","0.71%","107.65","-0.69","-0.64%","349.01 K","64.95 - 110.60",
"ULTA","Ulta Beauty, Inc","0.68%","298.79","-0.69","-0.23%","232.75 K","202.28 - 301.40",
"EXPE","Expedia","0.66%","139.09","-0.74","-0.53%","532.83 K","96.58 - 141.41",
"MHK","Mohawk Industries Inc","0.57%","232.29","-1.41","-0.60%","161.85 K","175.52 - 241.02",
"BBY","Best Buy Co Inc","0.55%","51.82","-0.18","-0.35%","1.09 M","28.76 - 52.67",
"CMG","Chipotle Mexican Grill Inc.","0.54%","485.74","-0.68","-0.14%","234.28 K","352.96 - 497.48",
"GPC","Genuine Parts Co","0.54%","91.74","-1.05","-1.13%","226.80 K","86.61 - 105.97",
"WHR","Whirlpool Corp","0.54%","184.86","-0.39","-0.21%","184.94 K","145.91 - 194.10",
"DISH","DISH Network Corp A","0.54%","61.45","-0.22","-0.36%","486.56 K","44.35 - 65.61",
"FOX","Twenty-First Century Fox Inc B","0.52%","27.66","-0.03","-0.09%","2.21 M","23.88 - 31.94",
"COH","Coach Inc","0.50%","45.46","-0.48","-1.04%","1.84 M","34.07 - 46.56",
"LB","L Brands Inc","0.50%","51.06","-2.35","-4.40%","1.94 M","43.04 - 79.67",
"VIAB","Viacom Inc B","0.47%","34.53","-0.42","-1.20%","2.54 M","33.94 - 46.72",
"DHI","Horton D.R. Inc","0.44%","33.14","-0.03","-0.08%","1.04 M","26.69 - 34.56",
"HAS","Hasbro Inc","0.44%","100.99","-0.83","-0.82%","198.89 K","76.14 - 104.14",
"KMX","Carmax Inc","0.44%","59.36","-0.57","-0.95%","777.01 K","45.06 - 69.11",
"DRI","Darden Restaurants Inc","0.42%","87.98","+0.35","+0.40%","509.85 K","59.50 - 87.84",
"AAP","Advance Auto Parts Inc","0.42%","145.77","-0.39","-0.27%","268.81 K","132.98 - 177.83",
"LEN","Lennar Corp A","0.40%","50.73","+0.16","+0.32%","663.18 K","39.68 - 53.79",
"FL","Foot Locker Inc","0.40%","76.11","-1.24","-1.60%","672.03 K","50.90 - 79.43",
"HOG","Harley-Davidson Inc","0.39%","55.73","-1.02","-1.80%","678.63 K","41.63 - 63.40",
"TIF","Tiffany & Co","0.39%","91.96","-0.99","-1.07%","342.26 K","56.99 - 97.29",
"WYN","Wyndham Worldwide Corp","0.39%","96.15","-0.26","-0.27%","218.44 K","62.60 - 102.44",
"WYNN","Wynn Resorts Ltd","0.38%","122.58","-0.69","-0.56%","508.34 K","82.51 - 127.20",
"IPG","Interpublic Group Cos","0.37%","24.56","+0.02","+0.08%","1.07 M","21.67 - 25.34",
"LKQ","LKQ Corp","0.37%","31.11","-0.18","-0.58%","392.47 K","27.85 - 36.35",
"GT","Goodyear Tire & Rubber Co","0.35%","35.45","+0.01","+0.03%","689.09 K","24.31 - 37.20",
"M","Macy's Inc","0.35%","25.16","-4.18","-14.25%","28.06 M","27.72 - 45.41",
"BWA","Borgwarner Inc","0.33%","41.85","-0.29","-0.69%","493.99 K","27.52 - 44.24",
"HBI","Hanesbrands Inc","0.33%","22.15","-0.60","-2.64%","2.35 M","18.91 - 28.25",
"PVH","PVH Corp","0.32%","100.61","-2.70","-2.61%","450.36 K","82.10 - 115.40",
"TSCO","Tractor Supply Co","0.31%","60.54","-0.42","-0.68%","777.27 K","60.87 - 97.00",
"MAT","Mattel Inc","0.30%","22.34","-0.24","-1.06%","1.95 M","21.55 - 34.24",
"KSS","Kohl's Corp","0.28%","38.16","-2.16","-5.36%","11.82 M","33.87 - 59.67",
"LEG","Leggett & Platt","0.28%","52.90","-0.60","-1.12%","263.69 K","44.02 - 54.97",
"SNI","Scripps Networks Interactive A","0.26%","68.89","-0.44","-0.63%","779.56 K","58.73 - 83.42",
"PHM","Pulte Group Inc","0.25%","22.98","+0.09","+0.39%","2.23 M","17.58 - 24.43",
"SPLS","Staples Inc","0.25%","9.44","-0.28","-2.88%","1.98 M","7.24 - 10.25",
"GRMN","Garmin Ltd","0.24%","52.20","-0.42","-0.80%","180.66 K","39.24 - 56.19",
"KORS","Michael Kors Holdings Ltd","0.24%","37.19","-1.04","-2.72%","1.39 M","34.92 - 53.29",
"GPS","Gap Inc","0.23%","25.75","-0.98","-3.67%","3.77 M","17.00 - 30.74",
"BBBY","Bed Bath & Beyond Inc","0.22%","37.03","-0.63","-1.67%","1.26 M","37.01 - 48.83",
"JWN","Nordstrom Inc","0.22%","46.20","-3.81","-7.62%","5.06 M","35.01 - 62.82",
"HRB","Block H & R Inc","0.21%","26.28","-0.22","-0.83%","761.84 K","19.18 - 26.53",
"TRIP","TripAdvisor Inc. A","0.21%","46.24","-1.75","-3.65%","2.38 M","40.45 - 71.69",
"DISCK","Discovery Communications Inc C","0.21%","25.56","+0.11","+0.45%","1.31 M","22.43 - 29.18",
"NWSA","News Corp A","0.19%","12.71","0.00","0.00%","868.07 K","10.54 - 14.68",
"TGNA","TEGNA Inc","0.19%","23.15","-0.17","-0.71%","968.76 K","17.91 - 26.65",
"RL","Ralph Lauren Corp A","0.18%","79.16","-3.91","-4.71%","990.51 K","75.62 - 114.00",
"SIG","Signet Jewelers Ltd","0.17%","61.64","-1.40","-2.22%","530.22 K","62.10 - 109.42",
"DISCA","Discovery Communications Inc A","0.15%","26.16","+0.05","+0.19%","1.36 M","23.66 - 30.25",
"UAA","Under Armour Inc A","0.15%","20.72","-0.46","-2.17%","4.60 M","18.40 - 44.68",
"UA","Under Armour Inc-C","0.14%","19.30","-0.35","-1.78%","2.07 M","17.05 - 42.94",
"AN","AutoNation Inc","0.10%","39.69","-0.49","-1.22%","517.45 K","39.13 - 54.15",
"NWS","News Corp B","0.06%","13.03","-0.03","-0.19%","151.22 K","10.90 - 15.22",
